generic_name,status,availability,shortage_reason,dosage_form,company_name,initial_posting_date,update_type,therapeutic_category,year,month
Rifampin Capsule,Current,Unavailable,Discontinuation of the manufacture of the drug,Capsule,"Epic Pharma, LLC",2021-12-22,Reverified,Anti-Infective,2021,12
Ropivacaine Hydrochloride Injection,Current,Unavailable,Demand increase for the drug,Injection,"Fresenius Kabi USA, LLC",2018-03-23,Reverified,Anesthesia,2018,3
Dextrose Monohydrate 5% Injection,Current,Available,Unknown,Injection,Otsuka ICU Medical LLC,2022-02-14,Reverified,Endocrinology/Metabolism,2022,2
Fondaparinux Sodium Injection,To Be Discontinued,Unknown,Unknown,Injection,"Jiangsu Hengrui Pharmaceuticals Co. (US Agent eVenus Pharmaceutical Laboratories, Inc.)",2025-09-29,New,Hematology,2025,9
Lisdexamfetamine Dimesylate Capsule,Current,Limited Availability,Shortage of an active ingredient,Capsule,"Hikma Pharmaceuticals USA, Inc.",2023-07-14,Reverified,Psychiatry,2023,7
"Methylphenidate Hydrochloride Tablet, Extended Release",Current,Available,Unknown,Tablet,Janssen Pharmaceuticals,2023-07-26,Reverified,Psychiatry,2023,7
Midazolam Hydrochloride Injection,Current,Available,Unknown,Injection,WG Critical Care,2020-04-02,Reverified,Anesthesia,2020,4
Rocuronium Bromide Injection,Current,Unavailable,Delay in shipping of the drug,Injection,"Fresenius Kabi USA, LLC",2023-02-15,Revised,Anesthesia,2023,2
"Epinephrine Bitartrate, Lidocaine Hydrochloride Injection",Current,Available,Unknown,Injection,"Hospira, Inc., a Pfizer Company",2012-02-22,Reverified,Anesthesia,2012,2
Lidocaine Hydrochloride Injection,Current,Available,Unknown,Injection,"Hikma Pharmaceuticals USA, Inc.",2018-06-13,Revised,Anesthesia,2018,6
Metoprolol Tartrate Tablet,To Be Discontinued,Unknown,Unknown,Tablet,Aurobindo Pharma USA,2025-06-03,New,Cardiovascular,2025,6
Morphine Sulfate Injection,Current,Available,Unknown,Injection,"Hikma Pharmaceuticals USA, Inc.",2017-11-03,Revised,Analgesia/Addiction,2017,11
Naltrexone Hydrochloride Tablet,Resolved,Unknown,Unknown,Tablet,"Elite Laboratories, Inc.",2024-02-29,Revised,Analgesia/Addiction,2024,2
Heparin Sodium Injection,Current,Available,Unknown,Injection,"Fresenius Kabi USA, LLC",2017-11-14,Revised,Hematology,2017,11
Irinotecan Hydrochloride Injection,To Be Discontinued,Unknown,Unknown,Injection,Ingenus Pharmaceuticals LLC,2026-02-24,New,Oncology,2026,2
Lisdexamfetamine Dimesylate Capsule,Current,Limited Availability,Shortage of an active ingredient,Capsule,"Elite Laboratories, Inc.",2023-07-14,Reverified,Psychiatry,2023,7
Pindolol Tablet,To Be Discontinued,Unknown,Unknown,Tablet,"Sun Pharmaceutical Industries, Inc.",2026-01-30,New,Cardiovascular,2026,1
